level,hanzi,pinyin,meaning
5,爱,ài,愛する
5,八,bā,8
5,爸爸,bàba,お父さん
5,杯子,bēizi,コップ
5,北京,běijīng,北京
5,本,běn,〜冊（本を数える）
5,不客气,bú kèqi,どういたしまして
5,菜,cài,料理、野菜
5,茶,chá,お茶
5,吃,chī,食べる
5,出租车,chūzūchē,タクシー
5,打电话,dǎ diànhuà,電話をかける
5,大,dà,大きい
5,的,de,〜の
5,点,diǎn,〜時
5,电脑,diànnǎo,コンピュータ
5,电视,diànshì,テレビ
5,电影,diànyǐng,映画
5,东西,dōngxi,もの
5,都,dōu,すべて、みんな
5,读,dú,読む
5,对不起,duìbuqǐ,すみません
5,多,duō,多い
5,多少,duōshao,どれくらい
5,儿子,érzi,息子
5,二,èr,2
5,饭店,fàndiàn,ホテル、レストラン
5,飞机,fēijī,飛行機
5,分钟,fēnzhōng,〜分間
5,高兴,gāoxìng,うれしい
5,个,gè,〜個（人や物を数える）
5,工作,gōngzuò,仕事
5,狗,gǒu,犬
5,汉语,Hànyǔ,中国語
5,好,hǎo,良い
5,号,hào,〜日、〜番
5,喝,hē,飲む
5,和,hé,〜と
5,很,hěn,とても
5,后面,hòumiàn,後ろ
5,回,huí,帰る、戻る
5,会,huì,〜できる
5,几,jǐ,いくつの
5,家,jiā,家、家庭
5,叫,jiào,〜という名前だ
5,今天,jīntiān,今日
5,九,jiǔ,9
5,看,kàn,見る、読む
5,看见,kànjiàn,見える
5,块,kuài,〜元（お金の単位）
5,来,lái,来る
5,老师,lǎoshī,先生
5,了,le,(完了や変化を表す)
5,冷,lěng,寒い
5,里,lǐ,中
5,零,líng,0
5,六,liù,6
5,妈妈,māma,お母さん
5,吗,ma,(疑問を表す)
5,买,mǎi,買う
5,猫,māo,猫
5,没关系,méi guānxi,大丈夫、かまわない
5,没有,méiyǒu,ない、持っていない
5,米饭,mǐfàn,ご飯
5,明天,míngtiān,明日
5,名字,míngzi,名前
5,哪,nǎ,どの
5,哪儿,nǎr,どこ
5,那,nà,あれ、あそこ
5,呢,ne,(疑問や状態を表す)
5,能,néng,〜できる
5,你,nǐ,あなた
5,年,nián,年
5,女儿,nǚ'ér,娘
5,朋友,péngyou,友達
5,漂亮,piàoliang,美しい、きれいな
5,苹果,píngguǒ,りんご
5,七,qī,7
5,钱,qián,お金
5,前面,qiánmiàn,前
5,请,qǐng,どうぞ〜してください
5,去,qù,行く
5,热,rè,暑い
5,人,rén,人
5,认识,rènshi,知り合いになる
5,三,sān,3
5,商店,shāngdiàn,店
5,上,shàng,上
5,上午,shàngwǔ,午前
5,少,shǎo,少ない
5,谁,shéi,だれ
5,什么,shénme,何
5,十,shí,10
5,时候,shíhou,時
5,是,shì,〜である
5,书,shū,本
5,水,shuǐ,水
5,水果,shuǐguǒ,果物
5,睡觉,shuìjiào,寝る
5,说话,shuōhuà,話す
5,四,sì,4
5,岁,suì,〜歳
5,太,tài,とても、あまりに〜すぎる
5,天气,tiānqì,天気
5,听,tīng,聞く
5,同学,tóngxué,クラスメート
5,喂,wèi,もしもし
5,我,wǒ,私
5,我们,wǒmen,私たち
5,五,wǔ,5
5,喜欢,xǐhuan,好きだ
5,下,xià,下
5,下午,xiàwǔ,午後
5,下雨,xiàyǔ,雨が降る
5,先生,xiānsheng,〜さん、先生、夫
5,现在,xiànzài,今
5,想,xiǎng,〜したい、思う
5,小,xiǎo,小さい
5,小姐,xiǎojiě,お嬢さん
5,些,xiē,いくつかの
5,写,xiě,書く
