level,hanzi,pinyin,meaning
3,爱,ài,愛する
3,八,bā,8
3,爸爸,bàba,お父さん
3,杯子,bēizi,コップ
3,北京,běijīng,北京
3,本,běn,〜冊（本を数える）
3,不客气,bú kèqi,どういたしまして
3,菜,cài,料理、野菜
3,茶,chá,お茶
3,吃,chī,食べる
3,出租车,chūzūchē,タクシー
3,打电话,dǎ diànhuà,電話をかける
3,大,dà,大きい
3,的,de,〜の
3,点,diǎn,〜時
3,电脑,diànnǎo,コンピュータ
3,电视,diànshì,テレビ
3,电影,diànyǐng,映画
3,东西,dōngxi,もの
3,都,dōu,すべて、みんな
3,读,dú,読む
3,对不起,duìbuqǐ,すみません
3,多,duō,多い
3,多少,duōshao,どれくらい
3,儿子,érzi,息子
3,二,èr,2
3,饭店,fàndiàn,ホテル、レストラン
3,飞机,fēijī,飛行機
3,分钟,fēnzhōng,〜分間
3,高兴,gāoxìng,うれしい
3,个,gè,〜個（人や物を数える）
3,工作,gōngzuò,仕事
3,狗,gǒu,犬
3,汉语,Hànyǔ,中国語
3,好,hǎo,良い
3,号,hào,〜日、〜番
3,喝,hē,飲む
3,和,hé,〜と
3,很,hěn,とても
3,后面,hòumiàn,後ろ
3,回,huí,帰る、戻る
3,会,huì,〜できる
3,几,jǐ,いくつの
3,家,jiā,家、家庭
3,叫,jiào,〜という名前だ
3,今天,jīntiān,今日
3,九,jiǔ,9
3,看,kàn,見る、読む
3,看见,kànjiàn,見える
3,块,kuài,〜元（お金の単位）
3,来,lái,来る
3,老师,lǎoshī,先生
3,了,le,(完了や変化を表す)
3,冷,lěng,寒い
3,里,lǐ,中
3,零,líng,0
3,六,liù,6
3,妈妈,māma,お母さん
3,吗,ma,(疑問を表す)
3,买,mǎi,買う
3,猫,māo,猫
3,没关系,méi guānxi,大丈夫、かまわない
3,没有,méiyǒu,ない、持っていない
3,米饭,mǐfàn,ご飯
3,明天,míngtiān,明日
3,名字,míngzi,名前
3,哪,nǎ,どの
3,哪儿,nǎr,どこ
3,那,nà,あれ、あそこ
3,呢,ne,(疑問や状態を表す)
3,能,néng,〜できる
3,你,nǐ,あなた
3,年,nián,年
3,女儿,nǚ'ér,娘
3,朋友,péngyou,友達
3,漂亮,piàoliang,美しい、きれいな
3,苹果,píngguǒ,りんご
3,七,qī,7
3,钱,qián,お金
3,前面,qiánmiàn,前
3,请,qǐng,どうぞ〜してください
