level,hanzi,pinyin,meaning
2,爱,ài,愛する
2,八,bā,8
2,爸爸,bàba,お父さん
2,杯子,bēizi,コップ
2,北京,běijīng,北京
2,本,běn,〜冊（本を数える）
2,不客气,bú kèqi,どういたしまして
2,菜,cài,料理、野菜
2,茶,chá,お茶
2,吃,chī,食べる
2,出租车,chūzūchē,タクシー
2,打电话,dǎ diànhuà,電話をかける
2,大,dà,大きい
2,的,de,〜の
2,点,diǎn,〜時
2,电脑,diànnǎo,コンピュータ
2,电视,diànshì,テレビ
2,电影,diànyǐng,映画
2,东西,dōngxi,もの
2,都,dōu,すべて、みんな
2,读,dú,読む
2,对不起,duìbuqǐ,すみません
2,多,duō,多い
2,多少,duōshao,どれくらい
2,儿子,érzi,息子
2,二,èr,2
2,饭店,fàndiàn,ホテル、レストラン
2,飞机,fēijī,飛行機
2,分,fēnzhōng,〜分間
2,高兴,gāoxìng,うれしい
2,个,gè,〜個（人や物を数える）
2,工作,gōngzuò,仕事
2,狗,gǒu,犬
2,汉语,Hànyǔ,中国語
2,好,hǎo,良い
2,号,hào,〜日、〜番
2,喝,hē,飲む
2,和,hé,〜と
2,很,hěn,とても
2,后面,hòumiàn,後ろ
2,回,huí,帰る、戻る
2,会,huì,〜できる
2,几,jǐ,いくつの
2,家,jiā,家、家庭
2,叫,jiào,〜という名前だ
2,今天,jīntiān,今日
2,九,jiǔ,9
2,看,kàn,見る、読む
2,看见,kànjiàn,見える
2,块,kuài,〜元（お金の単位）
2,来,lái,来る
2,老师,lǎoshī,先生
2,了,le,(完了や変化を表す)
2,冷,lěng,寒い
2,里,lǐ,中
2,零,líng,0
2,六,liù,6
2,妈妈,māma,お母さん
2,吗,ma,(疑問を表す)
2,買,mǎi,買う
2,猫,māo,猫
2,没关系,méi guānxi,大丈夫、かまわない
2,没有,méiyǒu,ない、持っていない
2,米饭,mǐfàn,ご飯
2,明天,míngtiān,明日
2,名字,míngzi,名前
2,哪,nǎ,どの
2,哪儿,nǎr,どこ
2,那,nà,あれ、あそこ
2,呢,ne,(疑問や状態を表す)
2,能,néng,〜できる
2,你,nǐ,あなた
2,年,nián,年
2,女儿,nǚ'ér,娘
2,朋友,péngyou,友達
2,漂亮,piàoliang,美しい、きれいな
2,苹果,píngguǒ,りんご
